State,County,Women,White,Citizen,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Production,Drive,Carpool,Transit,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,SelfEmployed,FamilyWork,Unemployment,Minority
Illinois,Henderson,51.32064754,96.60071003,80.46009656,26603.42161,9.939420619,19.94116728,25.59602386,21.60805169,18.27344504,22.40495598,84.89975859,7.43973303,1.25499858,0.331525135,4.384677648,24.52803181,47.57171258,75.66631639,7.71638739,1.00528259,7.008506106,2.626242545
Illinois,Henry,50.37988894,91.14847543,75.80939398,27401.65616,10.84567688,13.93438045,30.98744061,16.78871159,23.31940741,17.90954834,83.78525349,9.7298719,0.132602289,1.04949983,3.345394222,23.68570054,47.19844436,79.74975242,6.589433274,0.137321332,5.992027344,7.579129162
Illinois,Iroquois,51.1513441,90.92612811,75.6341858,25565.01477,16.62116133,27.06234468,28.3521564,16.3563866,22.48851409,19.31610849,79.75054211,9.1699377,0.169197673,2.391529274,5.787643273,23.77362407,46.58038757,78.61630468,9.558744364,0.307565484,7.570774103,8.125498227
Illinois,Jackson,49.80515336,74.81410623,78.0461585,21146.64504,31.78641617,35.43535459,38.13864682,20.50592938,25.03713844,9.289940202,77.81252058,8.550977593,1.086347297,2.110011086,3.518570901,18.74112272,43.03927168,61.87313468,5.852190345,0.188351194,10.35936776,21.91390802
Illinois,Jasper,50.12973534,97.355589,76.50233524,25302.24069,9.351447846,10.44274001,29.02377789,14.11144785,25.22683965,18.69716658,79.8702958,9.723217436,0.059449922,0.428998443,5.656761806,23.74397509,48.68707836,78.97379346,7.044400623,0.159501816,5.511011936,1.799813181
Illinois,Jefferson,48.63134429,86.24768262,77.59085489,22975.54132,17.0237441,24.78027373,26.0674374,19.82831666,23.4638058,20.95798642,82.05210483,9.256993623,0.341020789,2.299639691,3.788814869,19.59619731,42.84307118,81.24878947,6.919871429,0.144121002,9.311949816,11.35543315
Illinois,Jersey,51.12486188,96.38965304,77.49834254,25901.11646,7.349626519,8.274925967,31.34135691,18.36994917,25.74261657,14.77573923,84.8023779,7.395341436,0.124892818,0.593007735,3.824137017,29.40429171,46.79337017,86.45099669,5.782952486,0.081334807,7.902771271,2.405228729
Illinois,Jo Daviess,49.75219896,94.92457918,78.96146805,29362.00076,9.197062107,11.54516676,26.90187079,18.32735188,25.02962897,16.85581998,79.83027191,9.394128678,0.813059785,0.778809662,6.003567442,21.92145377,49.07353663,80.88499799,8.188931553,0.287047372,5.568982453,3.959061481
Illinois,Johnson,50.59404131,95.49842808,78.55053921,23128.06516,14.55992506,19.50261378,30.20438677,21.73317492,23.8494151,11.57813928,84.39861086,7.870435021,0.193556937,0.680844453,4.992990313,25.77657649,38.78632791,66.79415098,6.439855602,0,10.16387315,2.750246756
Illinois,Kane,50.23890902,58.18167659,61.66138933,31055.95859,11.40754792,16.5637849,33.0094411,16.75121322,25.07214709,17.31426424,79.83162896,10.37679267,2.627168566,1.049551522,4.649332426,29.00793772,48.68295211,86.0775275,3.64825505,0.144402213,7.680094535,40.29000278
Illinois,Kankakee,50.84342503,72.57410378,72.82772387,24448.75794,16.44736279,21.85498793,29.38456082,18.94153233,23.15357821,18.26508408,81.79876761,8.020011406,1.825600378,2.243178193,3.106840966,23.99003217,44.39008742,82.03061459,4.211030021,0.129342102,10.29756819,25.81152102
Illinois,Kendall,50.3215702,72.37970942,66.54170416,31052.93286,5.536982239,7.64195408,39.69056533,13.14949765,26.80313739,11.76885184,85.01457313,7.347070879,2.647284981,0.852002733,3.690951048,33.20347896,51.04302043,82.85448199,3.133476624,0.230140958,5.961275784,26.24532807
Illinois,Knox,49.80234879,83.94538686,78.63831747,22241.34871,19.19254874,28.53522413,30.08934602,19.61299317,23.41021262,18.64645955,82.73943813,7.979824225,0.491414645,1.318490943,2.744070464,17.97270878,41.20931839,81.59042639,5.679860685,0.042310792,7.523067624,14.48377533
Illinois,Lake,50.1275641,63.74129646,65.19137462,39314.63955,10.12932365,13.51445902,41.08037221,15.65224319,25.87572751,11.38863526,77.95558449,8.138528343,4.442194814,1.436391075,5.87186571,29.83806322,48.25567489,84.44185327,4.57487628,0.234182622,7.922909572,34.26121838
Illinois,LaSalle,49.85920998,86.86134359,75.98219917,25754.64197,13.12444772,19.69312127,26.23319091,20.26253209,23.55363345,19.83372565,83.91503744,8.744151218,0.306052639,1.493161247,3.168346672,22.31451603,45.70301744,84.30480463,4.360663179,0.241211061,9.873260555,11.95043747
Illinois,Lawrence,40.0120012,72.10675068,78.64986499,14468.32475,14.89827183,21.76418842,30.41043504,19.58766277,24.3549775,16.53585959,82.9990219,8.899255926,0.398511851,0.682250225,4.359663966,19.18658866,25.18451845,78.69525353,8.633447345,0,6.05449745,26.64291029
Illinois,Lee,47.11508265,87.14544209,78.07976704,25362.72376,11.26984612,13.90086219,29.82577155,20.16835298,22.7754104,19.08614783,84.83668313,7.611425472,0.509535501,1.011188512,4.155468638,23.58997345,44.36292003,77.36512976,7.651985611,0.238398949,7.510343449,11.7646073
Illinois,Livingston,49.58210618,89.24342912,78.07052456,25769.42819,11.48935764,17.09961527,26.2883998,18.16546738,22.57621057,20.3876383,82.04039906,9.76826395,0.127315662,1.529838945,3.055522832,19.97481493,42.33065351,80.23019449,6.12615352,0.04461514,6.3693916,10.02941176
Illinois,Logan,49.27894245,77.23628655,79.79369742,21786.11761,12.93389304,15.27061357,32.24974629,20.88655027,24.04481907,14.70055415,79.38123581,11.48009748,0.771518227,0.803785552,3.938937108,21.3142075,36.2398184,73.60479704,9.011700494,0.17034317,6.812484978,16.83697089
