District ID,District,Locale,log(Median income),Poverty rate,Unemployment rate,SNAP rate,Socioeconomic index,Grade,Math gap,Reading gap
600001,ACTON-AGUA DULCE UNIFIED                                    ,"Rural, Distant",11.39204788208008,0.0918939635157585,0.0488864555954933,0.0351646244525909,1.237208724021912,4.0,,
600001,ACTON-AGUA DULCE UNIFIED                                    ,"Rural, Distant",11.39204788208008,0.0918939635157585,0.0488864555954933,0.0351646244525909,1.237208724021912,6.0,,
600001,ACTON-AGUA DULCE UNIFIED                                    ,"Rural, Distant",11.39204788208008,0.0918939635157585,0.0488864555954933,0.0351646244525909,1.237208724021912,8.0,-0.5628551662829374,-0.7853214610430914
600006,ROSS VALLEY ELEMENTARY                                      ,"Suburb, Large",11.6072359085083,0.0414177253842354,0.0482691451907158,0.028005912899970998,1.912972092628479,4.0,-0.025131253659171002,-0.521408073080308
600006,ROSS VALLEY ELEMENTARY                                      ,"Suburb, Large",11.6072359085083,0.0414177253842354,0.0482691451907158,0.028005912899970998,1.912972092628479,5.0,0.143162613237341,-0.2102786224901635
600006,ROSS VALLEY ELEMENTARY                                      ,"Suburb, Large",11.6072359085083,0.0414177253842354,0.0482691451907158,0.028005912899970998,1.912972092628479,6.0,0.065458906129542,-0.0349925187360588
600006,ROSS VALLEY ELEMENTARY                                      ,"Suburb, Large",11.6072359085083,0.0414177253842354,0.0482691451907158,0.028005912899970998,1.912972092628479,7.0,,-0.2036100105591364
600011,FORT SAGE UNIFIED                                           ,"Rural, Distant",10.704569816589359,0.1599805057048798,0.0663325041532516,0.102053664624691,-0.4781274497509003,4.0,-0.0154174278222427,-0.1914004518296167
600011,FORT SAGE UNIFIED                                           ,"Rural, Distant",10.704569816589359,0.1599805057048798,0.0663325041532516,0.102053664624691,-0.4781274497509003,5.0,,
600011,FORT SAGE UNIFIED                                           ,"Rural, Distant",10.704569816589359,0.1599805057048798,0.0663325041532516,0.102053664624691,-0.4781274497509003,7.0,,
600011,FORT SAGE UNIFIED                                           ,"Rural, Distant",10.704569816589359,0.1599805057048798,0.0663325041532516,0.102053664624691,-0.4781274497509003,8.0,,
600012,TWIN RIDGES ELEMENTARY                                      ,"Rural, Distant",10.58978652954102,0.1791021823883057,0.0591584071516991,0.0749028623104095,-0.0963790416717529,5.0,,
600012,TWIN RIDGES ELEMENTARY                                      ,"Rural, Distant",10.58978652954102,0.1791021823883057,0.0591584071516991,0.0749028623104095,-0.0963790416717529,6.0,,
600012,TWIN RIDGES ELEMENTARY                                      ,"Rural, Distant",10.58978652954102,0.1791021823883057,0.0591584071516991,0.0749028623104095,-0.0963790416717529,7.0,,
600013,ROCKLIN UNIFIED                                             ,"Suburb, Large",11.399662017822273,0.0603378713130951,0.0455332286655903,0.0350163467228413,1.3981326818466193,4.0,0.1214141985818633,-0.3107661715155707
600013,ROCKLIN UNIFIED                                             ,"Suburb, Large",11.399662017822273,0.0603378713130951,0.0455332286655903,0.0350163467228413,1.3981326818466193,5.0,0.1508921501609823,-0.2015646926487465
600013,ROCKLIN UNIFIED                                             ,"Suburb, Large",11.399662017822273,0.0603378713130951,0.0455332286655903,0.0350163467228413,1.3981326818466193,6.0,-0.0885166526217224,-0.3972359407779161
600013,ROCKLIN UNIFIED                                             ,"Suburb, Large",11.399662017822273,0.0603378713130951,0.0455332286655903,0.0350163467228413,1.3981326818466193,7.0,-0.0029068643422011,-0.3572745153274376
600013,ROCKLIN UNIFIED                                             ,"Suburb, Large",11.399662017822273,0.0603378713130951,0.0455332286655903,0.0350163467228413,1.3981326818466193,8.0,0.0913873676856964,-0.2963496137674219
600014,HESPERIA UNIFIED                                            ,"Suburb, Large",10.826107025146479,0.19509395956993106,0.1023795232176781,0.1940353661775589,-0.709217369556427,4.0,0.0835203853083097,-0.1840520947584627
600014,HESPERIA UNIFIED                                            ,"Suburb, Large",10.826107025146479,0.19509395956993106,0.1023795232176781,0.1940353661775589,-0.709217369556427,5.0,0.0374272212232572,-0.2299094035528575
600014,HESPERIA UNIFIED                                            ,"Suburb, Large",10.826107025146479,0.19509395956993106,0.1023795232176781,0.1940353661775589,-0.709217369556427,6.0,-0.0593682420567888,-0.3388248228839036
600014,HESPERIA UNIFIED                                            ,"Suburb, Large",10.826107025146479,0.19509395956993106,0.1023795232176781,0.1940353661775589,-0.709217369556427,7.0,,-0.2375736135790849
600014,HESPERIA UNIFIED                                            ,"Suburb, Large",10.826107025146479,0.19509395956993106,0.1023795232176781,0.1940353661775589,-0.709217369556427,8.0,,
600015,LUCERNE VALLEY UNIFIED                                      ,"Town, Fringe",10.31087493896484,0.2529076337814331,0.083481602370739,0.1924573630094528,-1.434920787811279,4.0,-0.1081128684179868,-0.1392223514240254
600015,LUCERNE VALLEY UNIFIED                                      ,"Town, Fringe",10.31087493896484,0.2529076337814331,0.083481602370739,0.1924573630094528,-1.434920787811279,5.0,-0.2304552891932438,-0.4213155840330093
600015,LUCERNE VALLEY UNIFIED                                      ,"Town, Fringe",10.31087493896484,0.2529076337814331,0.083481602370739,0.1924573630094528,-1.434920787811279,6.0,0.1408271068098789,
600015,LUCERNE VALLEY UNIFIED                                      ,"Town, Fringe",10.31087493896484,0.2529076337814331,0.083481602370739,0.1924573630094528,-1.434920787811279,7.0,0.3999353512662486,0.4323255894589119
600015,LUCERNE VALLEY UNIFIED                                      ,"Town, Fringe",10.31087493896484,0.2529076337814331,0.083481602370739,0.1924573630094528,-1.434920787811279,8.0,-0.2399187037555517,-0.5306715691736139
