sedalea,grade,stateabb,sedaleaname,subject,cs_mn_all,cs_mnse_all,totgyb_all,cs_mn_asn,cs_mnse_asn,totgyb_asn,cs_mn_blk,cs_mnse_blk,totgyb_blk,cs_mn_ecd,cs_mnse_ecd,totgyb_ecd,cs_mn_fem,cs_mnse_fem,totgyb_fem,cs_mn_hsp,cs_mnse_hsp,totgyb_hsp,cs_mn_mal,cs_mnse_mal,totgyb_mal,cs_mn_mfg,cs_mnse_mfg,totgyb_mfg,cs_mn_mtr,cs_mnse_mtr,totgyb_mtr,cs_mn_nam,cs_mnse_nam,totgyb_nam,cs_mn_nec,cs_mnse_nec,totgyb_nec,cs_mn_neg,cs_mnse_neg,totgyb_neg,cs_mn_wag,cs_mnse_wag,totgyb_wag,cs_mn_wbg,cs_mnse_wbg,totgyb_wbg,cs_mn_whg,cs_mnse_whg,totgyb_whg,cs_mn_wht,cs_mnse_wht,totgyb_wht,cs_mn_wmg,cs_mnse_wmg,totgyb_wmg,cs_mn_wng,cs_mnse_wng,totgyb_wng
600001,4,CA,ACTON-AGUA DULCE UNIFIED                                    ,mth,-0.3670070575855693,0.1085427582033337,86.0,,,,,,2.0,-0.5720549581125121,0.1327780368167458,49.0,-0.2509188986897117,0.154086451310056,39.0,-0.486637383019935,0.1414856009674064,44.0,,,,,,,,,3.0,,,,-0.0835037534503156,0.1621555411408356,37.0,0.4533447668203369,0.2082631330130371,86.0,,,,0.1775742043693433,0.3817580409433481,37.0,0.24887259693302505,0.2165038701930617,79.0,-0.2086541626465904,0.1657831768875745,35.0,-0.0890027572405842,0.5180662285345601,38.0,,,
600001,4,CA,ACTON-AGUA DULCE UNIFIED                                    ,rla,0.0056851073542385,0.1174711004386342,85.0,,,,,,2.0,-0.210901609219665,0.1428153255192332,49.0,0.2256703131313256,0.1644638666971395,39.0,-0.0770001213825524,0.1467305662712757,43.0,,,,,,,,,3.0,,,,0.3195204209420457,0.1798159367315163,36.0,0.5321719435602611,0.2281385423278633,85.0,,,,0.5959314138735212,0.4819629631358624,37.0,0.3481974726911378,0.2381293136929304,78.0,0.2595867454246591,0.18961376917588896,35.0,0.5269415741458312,0.6029891698105285,38.0,,,
600001,6,CA,ACTON-AGUA DULCE UNIFIED                                    ,rla,-4.02302847199e-05,0.0921721293492785,114.0,,,3.0,,,,-0.1980854913161567,0.1281234464074561,59.0,,,,-0.2512177889256696,0.1312336982856322,54.0,-0.2111011918684706,0.143449407369327,59.0,,,,,,,,,,0.2218628911111474,0.1421226230815194,55.0,0.4496714159214498,0.1905090648907858,114.0,,,,,,,,,,,,,,,,,,
600001,8,CA,ACTON-AGUA DULCE UNIFIED                                    ,mth,-0.0977024559274611,0.1032162792225899,98.0,,,4.0,,,4.0,-0.3606458455507567,0.1275967147272558,55.0,0.1704241624042395,0.1422041623688334,46.0,-0.3372895840454547,0.1436316153630206,44.0,-0.3630593326062188,0.1480314699530083,52.0,-0.5628551662829374,0.2042296781846579,98.0,,,3.0,,,,0.2850493546058768,0.1527564558075189,43.0,0.6285830548822442,0.1979568427890541,98.0,-0.2621431255803959,0.5517937242628488,47.0,,,47.0,0.4568827518193537,0.2074869126122414,87.0,0.0982933584737443,0.151376743836024,43.0,0.1167212395486391,0.5331467843265493,46.0,,,
600001,8,CA,ACTON-AGUA DULCE UNIFIED                                    ,rla,-0.4856339932890112,0.1108801111616124,99.0,,,4.0,,,4.0,-0.6898120889569239,0.1375105003198235,56.0,-0.1284010139739754,0.1468225372508625,47.0,-0.6439086260743633,0.1484369766638296,44.0,-0.896300163372902,0.1626908292398476,52.0,-0.7853214610430914,0.2180565087278892,99.0,,,3.0,,,,-0.2030622220889402,0.1629498002571614,43.0,0.4986197403934185,0.2120672846011347,99.0,0.2433160443479664,0.4878378063164238,48.0,0.3215838454678314,0.3831935680362855,48.0,0.3498087585042571,0.2228642480350864,88.0,-0.305148268557338,0.1679218511053315,44.0,-0.1142592339847834,0.579423511754082,47.0,,,
600006,4,CA,ROSS VALLEY ELEMENTARY                                      ,mth,0.6977687536354265,0.0827821006419137,277.0,,,,,,2.0,-0.3487465612331064,0.1883813677426984,33.0,0.705521600127894,0.1186905604887011,139.0,-0.1297245466323028,0.1847879067439301,28.0,0.6897501997294135,0.1075353193378994,138.0,-0.025131253659171,0.1598723525643389,277.0,,,12.0,,,,0.8043503491013412,0.0837893384513521,244.0,1.211184494257835,0.2039062989094489,277.0,,,,1.2038904861953292,0.6563874096315424,224.0,0.8259610591276486,0.2004259036437265,250.0,0.7785156784381482,0.0841616607807406,222.0,0.6564737853343251,0.2990730681751805,234.0,,,
600006,4,CA,ROSS VALLEY ELEMENTARY                                      ,rla,0.7249332170673852,0.0907375328577781,275.0,,,,,,2.0,,,,0.9717457778506392,0.1498330668840426,138.0,,,,0.4741589319116123,0.1060007424117271,137.0,-0.521408073080308,0.1832060479217145,275.0,,,12.0,,,,0.8593055295270473,0.1006856915237253,244.0,,,,,,,1.565649718374885,0.7537888350452233,224.0,,,,0.7759886605536921,0.0955892866767613,222.0,0.4173749140523321,0.2662490409342939,234.0,,,
600006,5,CA,ROSS VALLEY ELEMENTARY                                      ,mth,0.59422102865679,0.0757754895944069,213.0,,,10.0,,,,-0.0101074363668941,0.2118772063778878,26.0,0.5134670173049335,0.1070922780258073,94.0,0.4408232080045573,0.2127928972682745,22.0,0.6734274748046569,0.1086345162710915,119.0,0.143162613237341,0.1521807091585494,213.0,,,7.0,,,,0.6708281268064514,0.0794942035223049,187.0,0.6510544653164653,0.2230072454425379,213.0,-0.1194295250641078,0.3289409479915301,175.0,,,,0.1554143121337509,0.2255390106363116,187.0,0.6290044614700077,0.0857354173390718,165.0,-0.226090903478944,0.3945972958143421,172.0,,,
600006,5,CA,ROSS VALLEY ELEMENTARY                                      ,rla,0.7447774919240189,0.0797104809010494,214.0,,,10.0,,,,-0.0470325814502792,0.2034644104153696,26.0,0.8782482495190213,0.1186812416318569,95.0,0.4058208247206171,0.2131166393571633,22.0,0.6596367570341848,0.09612755532084,119.0,-0.2102786224901635,0.1523468181420284,214.0,,,7.0,,,1.0,0.8275165844457705,0.08241686453196699,188.0,0.8547998798006171,0.2163906657385057,214.0,-0.2876620064491514,0.3478177990832291,176.0,,,,0.3933879705517374,0.2244925280474921,188.0,0.7834772050860082,0.0821452184525756,166.0,0.3267425429112811,0.3319241644215419,173.0,,,167.0
600006,6,CA,ROSS VALLEY ELEMENTARY                                      ,mth,0.5532051167933124,0.0780146110768027,271.0,,,10.0,,,4.0,,,,0.5386835812418656,0.0947218265671343,140.0,,,,0.6050254416033908,0.1252051549873818,131.0,0.065458906129542,0.1567041407239072,271.0,,,,,,,0.6486545688346583,0.0806337544218647,238.0,,,,-1.235639882580142,0.4774596164302067,228.0,1.260822229801194,0.5024313067135521,222.0,,,,0.6224744538753679,0.0821366261406898,218.0,,,,,,
600006,6,CA,ROSS VALLEY ELEMENTARY                                      ,rla,0.7522535691117324,0.0723430143831753,272.0,,,10.0,,,4.0,,,,0.7629680958222431,0.0910167600228982,140.0,,,,0.7420566090080308,0.110060078008059,132.0,-0.0349925187360588,0.1425541074962565,272.0,,,,,,,0.8387501465064987,0.07303559118841703,239.0,,,,-0.3261216753906891,0.3326019537608381,228.0,1.151880064099613,0.4992687220256762,222.0,,,,0.8491704590187781,0.0766595800003101,218.0,,,,,,
600006,7,CA,ROSS VALLEY ELEMENTARY                                      ,mth,0.5857001781852009,0.0674167242340599,249.0,,,4.0,,,4.0,,,,0.4183390352975341,0.0884779161907103,123.0,0.3201607463802039,0.1882923365583777,26.0,,,,,,,0.5392042777868419,0.2113170406678498,24.0,,,,0.6772857878564733,0.0668810037790556,217.0,,,,,,,,,,,,,,,,,,,,,
600006,7,CA,ROSS VALLEY ELEMENTARY                                      ,rla,0.6565497609401804,0.067728238847375,250.0,,,4.0,,,4.0,,,,0.7795020292446251,0.1025753405765812,123.0,0.1932874482879771,0.1933411176606529,26.0,0.5597586206648327,0.0855315572243339,127.0,-0.2036100105591364,0.133288822404369,250.0,0.7804798926509213,0.1800304156693854,25.0,,,,0.7244295395683424,0.0691847441785819,218.0,,,,,,,,,,,,,,,,,,,,,
600011,4,CA,FORT SAGE UNIFIED                                           ,mth,-0.6850406804332143,0.1787392773033518,36.0,,,,,,,-0.750426927632795,0.2099682439123434,26.0,,,16.0,,,5.0,-0.6528550723323591,0.2616983790878556,20.0,-0.0154174278222427,0.3554824546703684,36.0,,,,,,2.0,,,10.0,,,36.0,,,,,,,0.2674716998340139,0.4832564139836673,31.0,-0.5689307497005861,0.2044569456066168,26.0,,,,,,28.0
600011,4,CA,FORT SAGE UNIFIED                                           ,rla,-0.4740445397559531,0.17227566705487402,36.0,,,,,,,-0.6008985447689097,0.1967520459754171,26.0,,,16.0,,,5.0,-0.7209345781203366,0.2364568790957894,20.0,-0.1914004518296167,0.3357227392045437,36.0,,,2.0,,,2.0,,,10.0,,,36.0,,,,,,,-0.3508891944464038,0.4214393792581611,31.0,-0.6061878021092515,0.2006242220968574,26.0,0.4165919380553604,0.7219808576172471,28.0,,,28.0
600011,5,CA,FORT SAGE UNIFIED                                           ,mth,-0.5613114509981203,0.2011770541586099,30.0,,,,,,1.0,-0.9039659870163111,0.2469026193672587,22.0,,,12.0,,,5.0,,,18.0,,,30.0,,,2.0,,,,,,8.0,,,30.0,,,,-0.3691681798997776,0.5996558407336621,23.0,-0.043193485069778,0.529770627110464,27.0,-0.5079474975323031,0.2289679864802001,22.0,0.130394693494769,0.6350416905694781,24.0,,,
