Year,CO,NO2,NO2,O3,PM10,PM2.5,PM2.5,Pb,SO2,State,City
2000,,,,,50.0,23.0,8.6,,, SD,Aberdeen
2001,,,,,58.0,23.0,8.6,,, SD,Aberdeen
2002,,,,,59.0,20.0,7.9,,, SD,Aberdeen
2003,,,,,66.0,21.0,8.4,,, SD,Aberdeen
2004,,,,,39.0,23.0,8.1,,, SD,Aberdeen
2005,,,,,48.0,23.0,9.0,,, SD,Aberdeen
2006,,,,,51.0,21.0,8.2,,, SD,Aberdeen
2007,,,,,49.0,17.0,8.0,,, SD,Aberdeen
2008,,,,,69.0,28.0,7.7,,, SD,Aberdeen
2009,,,,,53.0,23.0,8.1,,, SD,Aberdeen
2010,,,,,46.0,27.0,8.7,,, SD,Aberdeen
2011,,,,,29.0,18.0,7.1,,, SD,Aberdeen
2012,,,,,62.0,23.0,7.5,,, SD,Aberdeen
2013,,,,,66.0,22.0,7.3,,, SD,Aberdeen
2014,,,,,36.0,17.0,6.2,,, SD,Aberdeen
2015,,,,,43.0,14.0,6.2,,, SD,Aberdeen
2016,,,,,65.0,14.0,5.4,,, SD,Aberdeen
2017,,,,,40.0,13.0,5.8,,, SD,Aberdeen
2018,,,,,49.0,22.0,6.6,,, SD,Aberdeen
2019,,,,,35.0,18.0,5.9,,, SD,Aberdeen
2000,,,,0.08199999999999999,,,,,, MI,Adrian
2001,,,,0.086,,,,,, MI,Adrian
2002,,,,0.08900000000000001,,,,,, MI,Adrian
2003,,,,0.08800000000000001,,,,,, MI,Adrian
2004,,,,0.07400000000000001,,,,,, MI,Adrian
2005,,,,0.08199999999999999,,,,,, MI,Adrian
2006,,,,0.07400000000000001,,,,,, MI,Adrian
2007,,,,0.081,,,,,, MI,Adrian
2008,,,,0.07200000000000001,,,,,, MI,Adrian
2009,,,,0.067,,,,,, MI,Adrian
2010,,,,0.066,,,,,, MI,Adrian
2011,,,,0.076,,,,,, MI,Adrian
2012,,,,0.087,,,,,, MI,Adrian
2013,,,,0.064,,,,,, MI,Adrian
2014,,,,0.068,,,,,, MI,Adrian
2015,,,,0.065,,,,,, MI,Adrian
2016,,,,0.069,,,,,, MI,Adrian
2017,,,,0.066,,,,,, MI,Adrian
2018,,,,0.071,,,,,, MI,Adrian
2019,,,,0.059000000000000004,,,,,, MI,Adrian
2000,2.4,,,0.085,,37.0,16.2,,163.0, OH,Akron
2001,2.7,,,0.096,,44.0,16.2,,132.0, OH,Akron
2002,1.8,,,0.1,,40.0,16.0,,145.0, OH,Akron
2003,1.9,,,0.09,,34.0,14.1,,167.0, OH,Akron
2004,2.1,,,0.079,,35.0,13.8,,172.0, OH,Akron
2005,1.6,,,0.091,,43.0,15.7,,140.0, OH,Akron
2006,1.4,,,0.07400000000000001,,31.0,12.8,,138.0, OH,Akron
2007,1.4,,,0.087,,31.0,14.1,,46.0, OH,Akron
2008,1.3,,,0.075,,33.0,12.9,,34.0, OH,Akron
2009,1.8,,,0.067,,26.0,11.7,,31.0, OH,Akron
2010,1.4,,,0.07400000000000001,,32.0,12.4,,27.0, OH,Akron
2011,1.0,,,0.073,,25.0,11.1,,24.0, OH,Akron
2012,1.1,,,0.07200000000000001,,19.0,10.0,,22.0, OH,Akron
2013,0.8,,,0.059000000000000004,,24.0,9.7,,23.0, OH,Akron
2014,0.8,,,0.06,,22.0,9.9,,21.0, OH,Akron
2015,1.0,,,0.065,,23.0,10.4,,14.0, OH,Akron
2016,1.1,,,0.06,,17.0,8.2,,8.0, OH,Akron
2017,0.9,,,0.066,,18.0,7.9,,3.0, OH,Akron
2018,1.8,,,0.068,,18.0,7.9,,6.0, OH,Akron
2019,1.8,,,0.062,,21.0,8.2,,3.0, OH,Akron
2000,,,,,,38.0,16.6,,, GA,Albany
2001,,,,,,36.0,14.6,,, GA,Albany
2002,,,,,,31.0,13.8,,, GA,Albany
2003,,,,,,27.0,13.4,,, GA,Albany
2004,,,,,,36.0,14.1,,, GA,Albany
2005,,,,,,35.0,14.6,,, GA,Albany
2006,,,,,,35.0,14.9,,, GA,Albany
2007,,,,,,43.0,15.0,,, GA,Albany
2008,,,,,,32.0,12.8,,, GA,Albany
2009,,,,,,32.0,11.8,,, GA,Albany
2010,,,,,,30.0,12.3,,, GA,Albany
2011,,,,,,29.0,12.1,,, GA,Albany
2012,,,,,,25.0,10.6,,, GA,Albany
2013,,,,,,26.0,10.0,,, GA,Albany
2014,,,,,,23.0,10.3,,, GA,Albany
2015,,,,,,21.0,9.0,,, GA,Albany
2016,,,,,,20.0,8.7,,, GA,Albany
2017,,,,,,25.0,9.4,,, GA,Albany
2018,,,,,,24.0,8.4,,, GA,Albany
2019,,,,,,26.0,9.3,,, GA,Albany
2000,1.1,,,0.07,,30.0,12.4,,56.0, NY,Albany-Schenectady-Troy
2001,1.2,,,0.08900000000000001,,31.0,12.3,,67.0, NY,Albany-Schenectady-Troy
2002,1.5,,,0.091,,33.0,12.1,,34.0, NY,Albany-Schenectady-Troy
2003,1.5,,,0.081,,34.0,11.9,,42.0, NY,Albany-Schenectady-Troy
2004,1.1,,,0.075,,32.0,11.0,,39.0, NY,Albany-Schenectady-Troy
2005,1.4,,,0.08199999999999999,,36.0,12.6,,25.0, NY,Albany-Schenectady-Troy
2006,1.0,,,0.07,,31.0,9.3,,21.0, NY,Albany-Schenectady-Troy
2007,0.9,,,0.078,,31.0,10.1,,20.0, NY,Albany-Schenectady-Troy
2008,0.9,,,0.078,,26.0,9.5,,22.0, NY,Albany-Schenectady-Troy
2009,0.8,,,0.066,,23.0,8.3,,18.0, NY,Albany-Schenectady-Troy
2010,0.9,,,0.07200000000000001,,24.0,7.9,,14.0, NY,Albany-Schenectady-Troy
2011,0.9,,,0.066,,24.0,8.8,,15.0, NY,Albany-Schenectady-Troy
2012,0.7,,,0.071,,18.0,7.6,,9.0, NY,Albany-Schenectady-Troy
2013,0.8,,,0.063,,20.0,7.1,,9.0, NY,Albany-Schenectady-Troy
2014,0.7,,,0.061,,19.0,7.2,,8.0, NY,Albany-Schenectady-Troy
2015,0.8,,,0.062,,20.0,7.8,,7.0, NY,Albany-Schenectady-Troy
2016,0.8,,,0.068,,18.0,6.3,,4.0, NY,Albany-Schenectady-Troy
2017,0.8,,,0.061,,15.0,6.9,,4.0, NY,Albany-Schenectady-Troy
2018,0.8,,,0.066,,19.0,7.5,,2.0, NY,Albany-Schenectady-Troy
2019,0.6,,,0.055,,18.0,7.0,,3.0, NY,Albany-Schenectady-Troy
2000,3.3,54.0,17.0,0.07200000000000001,99.3,20.0,6.6,,, NM,Albuquerque
2001,2.9,54.0,17.0,0.071,91.0,19.0,6.4,,, NM,Albuquerque
2002,2.8,57.0,19.0,0.07400000000000001,110.7,18.0,6.3,,, NM,Albuquerque
2003,2.1,55.0,18.0,0.076,152.7,17.0,6.9,,, NM,Albuquerque
2004,2.2,52.0,17.0,0.071,111.0,19.0,6.8,,, NM,Albuquerque
2005,2.0,51.0,16.0,0.073,124.7,19.0,7.0,,, NM,Albuquerque
2006,2.0,53.0,15.0,0.071,158.7,18.0,7.6,,, NM,Albuquerque
2007,1.6,64.0,15.0,0.069,102.7,18.0,6.7,,, NM,Albuquerque
2008,1.2,65.0,13.0,0.064,99.3,14.0,5.9,,, NM,Albuquerque
2009,1.1,48.0,12.0,0.063,84.3,13.0,5.5,,, NM,Albuquerque
2010,1.1,53.0,12.0,0.066,82.7,15.0,5.3,,, NM,Albuquerque
2011,1.3,50.0,13.0,0.069,124.3,40.0,6.9,,, NM,Albuquerque
2012,1.6,49.0,14.0,0.07,144.3,25.0,7.4,,, NM,Albuquerque
2013,0.9,45.0,12.0,0.067,103.3,16.0,5.7,,, NM,Albuquerque
2014,1.2,42.0,12.0,0.062,127.0,18.0,6.4,,, NM,Albuquerque
2015,1.4,43.0,11.0,0.066,68.7,21.0,6.6,,, NM,Albuquerque
2016,1.2,44.0,10.0,0.065,136.3,18.0,5.4,,, NM,Albuquerque
2017,1.0,45.0,10.0,0.069,80.3,15.0,5.6,,, NM,Albuquerque
2018,1.0,45.0,10.0,0.07400000000000001,114.3,15.0,5.1,,, NM,Albuquerque
2019,1.0,44.0,9.0,0.067,81.3,15.0,6.0,,, NM,Albuquerque
2000,,,17.0,0.08900000000000001,78.0,37.0,13.7,,67.0, PA-NJ,Allentown-Bethlehem-Easton
2001,,,16.0,0.09300000000000001,78.0,43.0,15.3,,67.0, PA-NJ,Allentown-Bethlehem-Easton
2002,,,13.0,0.094,90.0,46.0,14.7,,64.0, PA-NJ,Allentown-Bethlehem-Easton
2003,,,13.0,0.086,49.0,37.0,14.3,,63.0, PA-NJ,Allentown-Bethlehem-Easton
2004,,,14.0,0.085,45.0,35.0,13.7,,92.0, PA-NJ,Allentown-Bethlehem-Easton
2005,,,15.0,0.084,54.0,36.0,14.2,,90.0, PA-NJ,Allentown-Bethlehem-Easton
2006,,,12.0,0.079,52.0,38.0,12.7,,256.0, PA-NJ,Allentown-Bethlehem-Easton
2007,,,12.0,0.081,45.0,38.0,13.3,,215.0, PA-NJ,Allentown-Bethlehem-Easton
2008,,,12.0,0.077,45.0,33.0,12.3,,47.0, PA-NJ,Allentown-Bethlehem-Easton
2009,,,11.0,0.068,40.0,30.0,11.9,,46.0, PA-NJ,Allentown-Bethlehem-Easton
2010,,,11.0,0.077,39.0,33.0,13.7,,57.0, PA-NJ,Allentown-Bethlehem-Easton
2011,,,11.0,0.076,42.0,35.0,14.5,,30.0, PA-NJ,Allentown-Bethlehem-Easton
2012,,,9.0,0.07400000000000001,33.0,28.0,11.5,,20.0, PA-NJ,Allentown-Bethlehem-Easton
2013,,,9.0,0.066,42.0,32.0,10.5,,20.0, PA-NJ,Allentown-Bethlehem-Easton
2014,,,10.0,0.067,34.0,25.0,9.6,,20.0, PA-NJ,Allentown-Bethlehem-Easton
2015,,,9.0,0.069,39.0,26.0,9.9,,20.0, PA-NJ,Allentown-Bethlehem-Easton
2016,,,9.0,0.07400000000000001,31.0,21.0,8.4,,19.0, PA-NJ,Allentown-Bethlehem-Easton
2017,,,7.0,0.068,29.0,25.0,8.8,,105.0, PA-NJ,Allentown-Bethlehem-Easton
2018,,,6.0,0.069,40.0,23.0,8.1,,105.0, PA-NJ,Allentown-Bethlehem-Easton
2019,,,6.0,0.065,31.0,24.0,7.9,,105.0, PA-NJ,Allentown-Bethlehem-Easton
2000,,,,0.08,50.0,,,,62.0, PA,Altoona
2001,,,,0.083,76.0,,,,68.0, PA,Altoona
2002,,,,0.08900000000000001,67.0,,,,51.0, PA,Altoona
2003,,,,0.083,95.0,,,,62.0, PA,Altoona
2004,,,,0.073,63.0,,,,61.0, PA,Altoona
2005,,,,0.077,74.0,,,,72.0, PA,Altoona
2006,,,,0.071,63.0,,,,48.0, PA,Altoona
2007,,,,0.071,68.0,,,,56.0, PA,Altoona
2008,,,,0.075,53.0,,,,55.0, PA,Altoona
2009,,,,0.065,39.0,,,,51.0, PA,Altoona
2010,,,,0.07200000000000001,52.0,,,,36.0, PA,Altoona
2011,,,,0.07400000000000001,44.0,,,,32.0, PA,Altoona
2012,,,,0.08,40.0,,,,28.0, PA,Altoona
2013,,,,0.065,36.0,,,,29.0, PA,Altoona
2014,,,,0.06,34.0,,,,30.0, PA,Altoona
2015,,,,0.069,34.0,,,,31.0, PA,Altoona
2016,,,,0.062,34.0,,,,13.0, PA,Altoona
2017,,,,0.063,30.0,,,,7.0, PA,Altoona
2018,,,,0.064,19.0,,,,8.0, PA,Altoona
2019,,,,0.064,19.0,,,,8.0, PA,Altoona
2000,,,,0.092,,,,,, GA,Americus
2001,,,,0.08199999999999999,,,,,, GA,Americus
2002,,,,0.07,,,,,, GA,Americus
2003,,,,0.07200000000000001,,,,,, GA,Americus
2004,,,,0.07,,,,,, GA,Americus
2005,,,,0.071,,,,,, GA,Americus
2006,,,,0.077,,,,,, GA,Americus
2007,,,,0.076,,,,,, GA,Americus
2008,,,,0.068,,,,,, GA,Americus
2009,,,,0.06,,,,,, GA,Americus
2010,,,,0.069,,,,,, GA,Americus
2011,,,,0.066,,,,,, GA,Americus
2012,,,,0.065,,,,,, GA,Americus
2013,,,,0.06,,,,,, GA,Americus
2014,,,,0.059000000000000004,,,,,, GA,Americus
2015,,,,0.057,,,,,, GA,Americus
2016,,,,0.065,,,,,, GA,Americus
2017,,,,0.057999999999999996,,,,,, GA,Americus
2018,,,,0.062,,,,,, GA,Americus
2019,,,,0.062,,,,,, GA,Americus
2000,5.4,,,,,20.0,5.8,,, AK,Anchorage
2001,5.7,,,,,25.0,6.2,,, AK,Anchorage
2002,4.7,,,,,25.0,5.8,,, AK,Anchorage
2003,5.7,,,,,23.0,6.6,,, AK,Anchorage
2004,6.4,,,,,30.0,6.9,,, AK,Anchorage
2005,4.8,,,,,22.0,6.7,,, AK,Anchorage
2006,4.3,,,,,33.0,6.9,,, AK,Anchorage
2007,3.6,,,,,17.0,5.2,,, AK,Anchorage
2008,3.8,,,,,24.0,5.9,,, AK,Anchorage
2009,4.4,,,,,29.0,7.0,,, AK,Anchorage
2010,3.8,,,,,31.0,6.8,,, AK,Anchorage
2011,3.6,,,,,24.0,5.8,,, AK,Anchorage
2012,4.3,,,,,31.0,6.2,,, AK,Anchorage
2013,3.1,,,,,22.0,5.6,,, AK,Anchorage
2014,2.5,,,,,29.0,7.0,,, AK,Anchorage
2015,2.8,,,,,28.0,6.5,,, AK,Anchorage
2016,3.0,,,,,23.0,6.1,,, AK,Anchorage
2017,3.5,,,,,28.0,5.6,,, AK,Anchorage
2018,2.7,,,,,18.0,5.0,,, AK,Anchorage
2019,2.4,,,,,35.0,7.4,,, AK,Anchorage
2000,,,,0.078,,30.0,14.3,,, MI,Ann Arbor
2001,,,,0.092,,40.0,14.4,,, MI,Ann Arbor
2002,,,,0.091,,31.0,14.9,,, MI,Ann Arbor
2003,,,,0.091,,39.0,14.6,,, MI,Ann Arbor
2004,,,,0.071,,32.0,12.7,,, MI,Ann Arbor
2005,,,,0.083,,52.0,15.6,,, MI,Ann Arbor
2006,,,,0.076,,31.0,12.6,,, MI,Ann Arbor
2007,,,,0.077,,35.0,13.0,,, MI,Ann Arbor
2008,,,,0.069,,28.0,11.0,,, MI,Ann Arbor
2009,,,,0.065,,28.0,9.9,,, MI,Ann Arbor
2010,,,,0.066,,23.0,9.2,,, MI,Ann Arbor
2011,,,,0.077,,24.0,9.6,,, MI,Ann Arbor
2012,,,,0.085,,23.0,9.1,,, MI,Ann Arbor
2013,,,,0.065,,19.0,8.6,,, MI,Ann Arbor
2014,,,,0.07,,25.0,9.7,,, MI,Ann Arbor
2015,,,,0.064,,26.0,9.4,,, MI,Ann Arbor
2016,,,,0.069,,18.0,7.9,,, MI,Ann Arbor
2017,,,,0.068,,19.0,8.0,,, MI,Ann Arbor
2018,,,,0.07,,21.0,8.3,,, MI,Ann Arbor
2019,,,,0.06,,22.0,8.5,,, MI,Ann Arbor
2000,,,,0.066,,32.0,11.5,,, WI,Appleton
2001,,,,0.085,,33.0,11.1,,, WI,Appleton
2002,,,,0.075,,29.0,10.8,,, WI,Appleton
2003,,,,0.075,,26.0,10.4,,, WI,Appleton
2004,,,,0.071,,29.0,9.7,,, WI,Appleton
2005,,,,0.079,,37.0,11.5,,, WI,Appleton
2006,,,,0.069,,36.0,11.6,,, WI,Appleton
2007,,,,0.075,,31.0,11.2,,, WI,Appleton
2008,,,,0.062,,31.0,11.2,,, WI,Appleton
2009,,,,0.064,,34.0,10.4,,, WI,Appleton
2010,,,,0.062,,37.0,9.7,,, WI,Appleton
2011,,,,0.07200000000000001,,22.0,9.3,,, WI,Appleton
2012,,,,0.077,,25.0,8.6,,, WI,Appleton
2013,,,,0.067,,22.0,8.0,,, WI,Appleton
2014,,,,0.07,,24.0,8.6,,, WI,Appleton
2015,,,,0.066,,20.0,7.4,,, WI,Appleton
2016,,,,0.066,,21.0,6.7,,, WI,Appleton
2017,,,,0.064,,16.0,5.8,,, WI,Appleton
2018,,,,0.067,,21.0,6.5,,, WI,Appleton
2019,,,,0.057,,26.0,8.0,,, WI,Appleton
2000,,,,0.086,,34.0,15.4,,, NC,Asheville
2001,,,,0.08,,31.0,13.5,,, NC,Asheville
2002,,,,0.09,,31.0,13.8,,, NC,Asheville
2003,,,,0.077,,31.0,12.6,,, NC,Asheville
2004,,,,0.07200000000000001,,27.0,12.3,,, NC,Asheville
2005,,,,0.08199999999999999,,32.0,13.1,,, NC,Asheville
2006,,,,0.07200000000000001,,31.0,12.4,,, NC,Asheville
2007,,,,0.076,,28.0,12.2,,, NC,Asheville
2008,,,,0.076,,23.0,9.0,,, NC,Asheville
2009,,,,0.065,,18.0,8.4,,, NC,Asheville
2010,,,,0.07200000000000001,,20.0,10.2,,, NC,Asheville
2011,,,,0.067,,19.0,9.2,,, NC,Asheville
2012,,,,0.068,,16.0,8.6,,, NC,Asheville
2013,,,,0.063,,16.0,8.1,,, NC,Asheville
2014,,,,0.065,,14.0,7.9,,, NC,Asheville
2015,,,,0.065,,14.0,7.0,,, NC,Asheville
2016,,,,0.065,,40.0,8.5,,, NC,Asheville
2017,,,,0.061,,14.0,6.7,,, NC,Asheville
2018,,,,0.064,,12.0,6.0,,, NC,Asheville
2019,,,,0.062,,14.0,6.1,,, NC,Asheville
2000,,,,0.08199999999999999,,,,,50.0, OH,Ashtabula
2001,,,,0.09699999999999999,,,,,56.0, OH,Ashtabula
2002,,,,0.10300000000000001,,,,,55.0, OH,Ashtabula
2003,,,,0.099,,,,,44.0, OH,Ashtabula
2004,,,,0.081,,,,,36.0, OH,Ashtabula
2005,,,,0.09300000000000001,,,,,39.0, OH,Ashtabula
2006,,,,0.086,,,,,40.0, OH,Ashtabula
2007,,,,0.092,,,,,31.0, OH,Ashtabula
2008,,,,0.075,,,,,36.0, OH,Ashtabula
2009,,,,0.075,,,,,34.0, OH,Ashtabula
2010,,,,0.083,,,,,20.0, OH,Ashtabula
2011,,,,0.077,,,,,19.0, OH,Ashtabula
2012,,,,0.079,,,,,53.0, OH,Ashtabula
2013,,,,0.07,,,,,29.0, OH,Ashtabula
2014,,,,0.069,,,,,17.0, OH,Ashtabula
2015,,,,0.07,,,,,37.0, OH,Ashtabula
2016,,,,0.07200000000000001,,,,,7.0, OH,Ashtabula
2017,,,,0.069,,,,,5.0, OH,Ashtabula
2018,,,,0.069,,,,,5.0, OH,Ashtabula
2019,,,,0.068,,,,,3.0, OH,Ashtabula
2000,,,,,,32.0,12.4,,, OH,Athens
2001,,,,,,32.0,12.4,,, OH,Athens
2002,,,,,,33.0,12.7,,, OH,Athens
2003,,,,,,29.0,12.3,,, OH,Athens
2004,,,,,,33.0,11.4,,, OH,Athens
2005,,,,,,33.0,13.3,,, OH,Athens
2006,,,,,,30.0,11.8,,, OH,Athens
2007,,,,,,37.0,13.0,,, OH,Athens
2008,,,,,,27.0,11.1,,, OH,Athens
2009,,,,,,18.0,9.1,,, OH,Athens
2010,,,,,,18.0,8.9,,, OH,Athens
2011,,,,,,19.0,8.7,,, OH,Athens
2012,,,,,,16.0,8.7,,, OH,Athens
2013,,,,,,16.0,8.1,,, OH,Athens
2014,,,,,,18.0,7.8,,, OH,Athens
2015,,,,,,18.0,7.6,,, OH,Athens
2016,,,,,,11.0,6.2,,, OH,Athens
2017,,,,,,12.0,6.3,,, OH,Athens
2018,,,,,,14.0,6.7,,, OH,Athens
2019,,,,,,13.0,6.4,,, OH,Athens
2000,,,,0.084,,,,,, GA,Athens-Clarke County
2001,,,,0.084,,,,,, GA,Athens-Clarke County
2002,,,,0.084,,,,,, GA,Athens-Clarke County
2003,,,,0.07200000000000001,,,,,, GA,Athens-Clarke County
2004,,,,0.078,,,,,, GA,Athens-Clarke County
2005,,,,0.08199999999999999,,,,,, GA,Athens-Clarke County
2006,,,,0.086,,,,,, GA,Athens-Clarke County
2007,,,,0.083,,,,,, GA,Athens-Clarke County
2008,,,,0.077,,,,,, GA,Athens-Clarke County
2009,,,,0.067,,,,,, GA,Athens-Clarke County
2010,,,,0.073,,,,,, GA,Athens-Clarke County
2011,,,,0.075,,,,,, GA,Athens-Clarke County
2012,,,,0.071,,,,,, GA,Athens-Clarke County
2013,,,,0.06,,,,,, GA,Athens-Clarke County
2014,,,,0.063,,,,,, GA,Athens-Clarke County
2015,,,,0.061,,,,,, GA,Athens-Clarke County
2016,,,,0.069,,,,,, GA,Athens-Clarke County
2017,,,,0.063,,,,,, GA,Athens-Clarke County
2018,,,,0.065,,,,,, GA,Athens-Clarke County
2019,,,,0.063,,,,,, GA,Athens-Clarke County
2000,,74.0,18.0,0.102,,47.0,18.8,,50.0, GA,Atlanta-Sandy Springs-Roswell
2001,,71.0,17.0,0.085,,39.0,17.1,,54.0, GA,Atlanta-Sandy Springs-Roswell
2002,,62.0,15.0,0.096,,32.0,15.3,,56.0, GA,Atlanta-Sandy Springs-Roswell
2003,,62.0,13.0,0.083,,37.0,15.8,,53.0, GA,Atlanta-Sandy Springs-Roswell
2004,,62.0,15.0,0.08199999999999999,,36.0,16.2,,56.0, GA,Atlanta-Sandy Springs-Roswell
2005,,58.0,14.0,0.085,,35.0,16.1,,60.0, GA,Atlanta-Sandy Springs-Roswell
2006,,60.0,15.0,0.092,,32.0,16.3,,62.0, GA,Atlanta-Sandy Springs-Roswell
2007,,59.0,15.0,0.092,,34.0,15.1,,58.0, GA,Atlanta-Sandy Springs-Roswell
2008,,58.0,13.0,0.081,,26.0,13.1,,45.0, GA,Atlanta-Sandy Springs-Roswell
2009,,50.0,11.0,0.07200000000000001,,24.0,11.4,,31.0, GA,Atlanta-Sandy Springs-Roswell
2010,,58.0,14.0,0.075,,23.0,12.6,,33.0, GA,Atlanta-Sandy Springs-Roswell
2011,,57.0,13.0,0.078,,25.0,11.8,,25.0, GA,Atlanta-Sandy Springs-Roswell
2012,,53.0,12.0,0.077,,20.0,10.3,,10.0, GA,Atlanta-Sandy Springs-Roswell
2013,,43.0,9.0,0.065,,19.0,9.4,,9.0, GA,Atlanta-Sandy Springs-Roswell
2014,,53.0,11.0,0.07,,20.0,10.1,,6.0, GA,Atlanta-Sandy Springs-Roswell
2015,,48.0,10.0,0.069,,18.0,9.0,,4.0, GA,Atlanta-Sandy Springs-Roswell
2016,,49.0,11.0,0.073,,18.0,9.1,,6.0, GA,Atlanta-Sandy Springs-Roswell
2017,,45.0,9.0,0.066,,20.0,9.1,,7.0, GA,Atlanta-Sandy Springs-Roswell
2018,,39.0,8.0,0.066,,18.0,8.4,,4.0, GA,Atlanta-Sandy Springs-Roswell
2019,,42.0,9.0,0.069,,19.0,9.1,,5.0, GA,Atlanta-Sandy Springs-Roswell
2000,,,,,,42.0,11.6,,, NJ,Atlantic City-Hammonton
2001,,,,,,42.0,11.6,,, NJ,Atlantic City-Hammonton
2002,,,,,,42.0,11.6,,, NJ,Atlantic City-Hammonton
2003,,,,,,30.0,12.0,,, NJ,Atlantic City-Hammonton
2004,,,,,,30.0,10.6,,, NJ,Atlantic City-Hammonton
2005,,,,,,25.0,11.8,,, NJ,Atlantic City-Hammonton
2006,,,,,,35.0,12.4,,, NJ,Atlantic City-Hammonton
2007,,,,,,27.0,10.2,,, NJ,Atlantic City-Hammonton
2008,,,,,,27.0,10.6,,, NJ,Atlantic City-Hammonton
2009,,,,,,20.0,9.0,,, NJ,Atlantic City-Hammonton
2010,,,,,,21.0,9.2,,, NJ,Atlantic City-Hammonton
2011,,,,,,28.0,9.3,,, NJ,Atlantic City-Hammonton
2012,,,,,,20.0,8.2,,, NJ,Atlantic City-Hammonton
2013,,,,,,22.0,8.6,,, NJ,Atlantic City-Hammonton
2014,,,,,,20.0,8.1,,, NJ,Atlantic City-Hammonton
2015,,,,,,16.0,7.7,,, NJ,Atlantic City-Hammonton
2016,,,,,,15.0,7.2,,, NJ,Atlantic City-Hammonton
2017,,,,,,18.0,6.9,,, NJ,Atlantic City-Hammonton
2018,,,,,,15.0,6.3,,, NJ,Atlantic City-Hammonton
2019,,,,,,17.0,6.5,,, NJ,Atlantic City-Hammonton
2000,,,,0.087,48.0,35.0,16.0,,, GA-SC,Augusta-Richmond County
2001,,,,0.08,49.0,28.0,13.8,,, GA-SC,Augusta-Richmond County
2002,,,,0.092,53.0,28.0,13.4,,, GA-SC,Augusta-Richmond County
2003,,,,0.07200000000000001,60.0,31.0,13.5,,, GA-SC,Augusta-Richmond County
2004,,,,0.077,48.0,36.0,14.3,,, GA-SC,Augusta-Richmond County
2005,,,,0.076,47.0,33.0,14.8,,, GA-SC,Augusta-Richmond County
2006,,,,0.075,48.0,28.0,14.7,,, GA-SC,Augusta-Richmond County
2007,,,,0.078,54.0,32.0,13.7,,, GA-SC,Augusta-Richmond County
2008,,,,0.07400000000000001,61.0,25.0,12.7,,, GA-SC,Augusta-Richmond County
2009,,,,0.065,43.0,22.0,10.9,,, GA-SC,Augusta-Richmond County
2010,,,,0.067,42.0,24.0,11.3,,, GA-SC,Augusta-Richmond County
2011,,,,0.068,34.0,25.0,11.0,,, GA-SC,Augusta-Richmond County
2012,,,,0.062,26.0,19.0,9.6,,, GA-SC,Augusta-Richmond County
2013,,,,0.057,28.0,20.0,9.1,,, GA-SC,Augusta-Richmond County
2014,,,,0.059000000000000004,40.0,18.0,9.6,,, GA-SC,Augusta-Richmond County
2015,,,,0.059000000000000004,30.0,17.0,8.4,,, GA-SC,Augusta-Richmond County
2016,,,,0.063,35.0,27.0,9.4,,, GA-SC,Augusta-Richmond County
2017,,,,0.059000000000000004,104.0,19.0,8.7,,, GA-SC,Augusta-Richmond County
2018,,,,0.063,104.0,18.0,8.4,,, GA-SC,Augusta-Richmond County
2019,,,,0.066,104.0,19.0,9.2,,, GA-SC,Augusta-Richmond County
2000,,,,0.063,,,,,, ME,Augusta-Waterville
2001,,,,0.084,,,,,, ME,Augusta-Waterville
2002,,,,0.08800000000000001,,,,,, ME,Augusta-Waterville
2003,,,,0.069,,,,,, ME,Augusta-Waterville
2004,,,,0.071,,,,,, ME,Augusta-Waterville
2005,,,,0.07,,,,,, ME,Augusta-Waterville
2006,,,,0.065,,,,,, ME,Augusta-Waterville
2007,,,,0.079,,,,,, ME,Augusta-Waterville
2008,,,,0.068,,,,,, ME,Augusta-Waterville
2009,,,,0.066,,,,,, ME,Augusta-Waterville
2010,,,,0.059000000000000004,,,,,, ME,Augusta-Waterville
2011,,,,0.063,,,,,, ME,Augusta-Waterville
2012,,,,0.064,,,,,, ME,Augusta-Waterville
2013,,,,0.065,,,,,, ME,Augusta-Waterville
2014,,,,0.057,,,,,, ME,Augusta-Waterville
2015,,,,0.063,,,,,, ME,Augusta-Waterville
2016,,,,0.059000000000000004,,,,,, ME,Augusta-Waterville
2017,,,,0.067,,,,,, ME,Augusta-Waterville
2018,,,,0.06,,,,,, ME,Augusta-Waterville
2019,,,,0.054000000000000006,,,,,, ME,Augusta-Waterville
2000,,,,0.08800000000000001,50.0,,,,, TX,Austin-Round Rock
2001,,,,0.079,37.0,,,,, TX,Austin-Round Rock
2002,,,,0.086,43.0,,,,, TX,Austin-Round Rock
2003,,,,0.083,53.0,,,,, TX,Austin-Round Rock
2004,,,,0.081,44.0,,,,, TX,Austin-Round Rock
2005,,,,0.081,33.0,,,,, TX,Austin-Round Rock
2006,,,,0.083,32.0,,,,, TX,Austin-Round Rock
2007,,,,0.073,41.0,,,,, TX,Austin-Round Rock
2008,,,,0.07200000000000001,35.0,,,,, TX,Austin-Round Rock
2009,,,,0.073,41.0,,,,, TX,Austin-Round Rock
2010,,,,0.07200000000000001,34.0,,,,, TX,Austin-Round Rock
2011,,,,0.07400000000000001,33.0,,,,, TX,Austin-Round Rock
2012,,,,0.075,28.0,,,,, TX,Austin-Round Rock
2013,,,,0.07,57.0,,,,, TX,Austin-Round Rock
