Depth,Age,A_curv,A_octon,ActinSpp,A_nodul,CoscinSpp,CyclotSpp,Rop_tess,StephanSpp,Num.counted
11.35,13.08,5,8,37,28,14,5,NA,1,209
11.4,13.12,4,8,21,53,11,3,NA,NA,204
11.45,13.17,2,8,29,38,21,2,NA,NA,206
11.5,13.21,11,4,29,26,24,5,NA,NA,203
11.55,13.26,2,NA,43,38,14,2,NA,NA,204
11.6,13.3,11,4,32,25,15,12,NA,1,209
11.65,13.35,6,7,29,26,26,5,NA,NA,206
11.7,13.39,6,2,42,28,18,3,NA,NA,204
11.75,13.44,21,1,33,6,15,22,1,NA,202
11.8,13.48,3,4,34,29,19,9,2,NA,204
11.85,13.53,8,2,38,28,15,8,1,NA,203
11.9,13.57,2,3,36,32,15,10,NA,1,204
11.95,13.61,23,3,39,10,17,6,NA,NA,202
12,13.66,11,6,43,19,13,8,NA,NA,205
12.05,13.7,3,2,10,51,9,10,16,NA,209
12.1,13.75,10,3,30,30,21,6,NA,NA,203
12.15,13.79,4,8,27,38,11,12,NA,NA,208
11.1,12.82,NA,1,14,46,27,10,NA,NA,204
11.15,12.9,NA,2,18,47,23,9,1,NA,202
11.2,12.94,1,2,20,50,20,6,NA,NA,204
11.25,12.99,2,4,39,18,33,3,NA,1,204
11.3,13.03,2,8,13,50,15,8,3,NA,204
12.2,13.84,11,3,54,14,10,6,NA,1,203
12.25,13.88,9,1,32,20,26,10,1,NA,204
12.3,13.93,13,2,26,31,18,8,NA,1,202
12.35,13.97,2,1,26,44,21,6,NA,NA,204
12.4,14.02,8,2,45,23,14,8,NA,NA,203
12.45,14.06,11,4,29,23,27,7,NA,NA,207
12.5,14.11,5,1,35,29,14,13,3,NA,205
12.55,14.15,6,2,29,33,18,12,NA,NA,207
12.6,14.19,7,3,32,34,19,4,NA,NA,204
12.65,14.24,9,4,33,31,16,6,NA,1,206
12.7,14.28,2,1,14,63,16,2,NA,NA,206
12.75,14.33,6,6,37,33,11,5,NA,1,206
12.8,14.37,4,5,35,37,12,7,NA,NA,205
12.85,14.42,5,2,33,36,16,6,NA,NA,203
12.9,14.46,6,6,30,32,18,8,NA,NA,205
12.95,14.51,3,6,19,42,14,16,NA,NA,207
13,14.55,2,3,17,67,5,4,NA,NA,205
13.05,14.6,NA,4,22,49,17,8,NA,NA,206
13.1,14.64,NA,NA,8,72,15,4,NA,NA,201
13.15,14.69,1,3,19,40,29,5,1,NA,205
13.2,14.73,1,2,15,61,17,3,NA,NA,205
13.25,14.78,1,NA,22,50,20,6,NA,NA,206
13.41,14.92,NA,3,14,53,16,13,NA,NA,216
13.46,14.96,NA,2,11,57,22,6,1,NA,207
13.51,15.01,NA,NA,10,63,22,5,NA,NA,205
13.56,15.05,1,NA,7,54,26,11,NA,NA,203
13.61,15.1,1,1,10,62,15,11,NA,NA,206
13.66,15.14,3,2,12,58,13,12,NA,NA,206
13.71,15.19,1,2,13,55,18,11,NA,NA,204
