STATION,NAME,DATE,TMAX,TMIN
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/11/2021,56,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/12/2021,61,35
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/13/2021,64,43
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/14/2021,60,40
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/15/2021,59,44
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/16/2021,59,35
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/17/2021,60,38
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/18/2021,63,47
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/19/2021,65,45
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/20/2021,72,54
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/21/2021,72,44
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/22/2021,71,50
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/23/2021,72,49
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/24/2021,67,41
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/25/2021,65,44
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/26/2021,63,40
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/27/2021,72,41
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/28/2021,73,41
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",3/29/2021,77,42
