Country Name,Year,GDP per capita,region,sub-region,Population,Group,Life expectancy at birth
Afghanistan,2019,507.10343190000003,Asia,Southern Asia,38041754.0,Male,63.3
Afghanistan,2015,578.4663529000001,Asia,Southern Asia,34413603.0,Male,61.0
Afghanistan,2010,543.3030418999999,Asia,Southern Asia,29185507.0,Male,59.6
Albania,2019,5353.244856,Europe,Southern Europe,2854191.0,Male,76.3
Albania,2015,3952.801215,Europe,Southern Europe,2880703.0,Male,76.1
