sedalea,grade,sedaleanm,urban,suburb,town,rural,locale,perind,perasn,perhsp,perblk,perwht,perfl,perrl,perecd,perell,perspeced,totenrl,gslo,gshi,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,perfrl,sesall,sesblk,seshsp,seswht,lninc50all,lninc50blk,lninc50hsp,lninc50wht,baplusall,baplusblk,baplushsp,bapluswht,povertyall,povertyblk,povertyhsp,povertywht,unempall,unempblk,unemphsp,unempwht,snapall,snapblk,snaphsp,snapwht,single_momall,single_momblk,single_momhsp,single_momwht,seswhtblk,seswhthsp
600001,4.0,ACTON-AGUA DULCE UNIFIED                                    ,0.0,0.0,0.0,1.0,"Rural, Distant",0.0038926862,0.045901231,0.30806476,0.064862303,0.57727903,0.31919944,0.049579829000000006,0.41558442,0.010703467,0.10966004,732.0,Kindergarten,12.0,0.10713363,0.031812981000000004,0.023678416,0.044628322000000005,0.11170419,0.038118195,0.030485302,0.057865687,0.36877924,1.237208724021912,-1.264979481697083,0.6368324160575867,1.327257513999939,11.39204788208008,10.952969551086431,11.196910858154302,11.440481185913091,0.2682390213012695,0.2052271962165833,0.1604040563106537,0.2799406051635742,0.0918939635157585,0.2239317893981934,0.0812698900699615,0.0920982956886292,0.0488864555954933,0.0957669541239738,0.0307082571089268,0.0488989800214767,0.0351646244525909,0.2029298394918442,0.0819003358483315,0.0323621556162834,0.0843846574425697,0.3496356606483459,0.1984822750091553,0.0616530179977417,1.839339017868042,0.6925658583641052
600001,5.0,ACTON-AGUA DULCE UNIFIED                                    ,0.0,0.0,0.0,1.0,"Rural, Distant",0.0037876931,0.046651963,0.30411828,0.06455926599999999,0.58088279,0.31551266,0.049729101,0.39384615,0.010703467,0.10966004,779.0,Kindergarten,12.0,0.093855634,0.03464118,0.023969965,0.040653482000000005,0.097731464,0.041212905,0.03067291,0.052172672,0.36524174,1.237208724021912,-1.264979481697083,0.6368324160575867,1.327257513999939,11.39204788208008,10.952969551086431,11.196910858154302,11.440481185913091,0.2682390213012695,0.2052271962165833,0.1604040563106537,0.2799406051635742,0.0918939635157585,0.2239317893981934,0.0812698900699615,0.0920982956886292,0.0488864555954933,0.0957669541239738,0.0307082571089268,0.0488989800214767,0.0351646244525909,0.2029298394918442,0.0819003358483315,0.0323621556162834,0.0843846574425697,0.3496356606483459,0.1984822750091553,0.0616530179977417,1.839339017868042,0.6925658583641052
600001,6.0,ACTON-AGUA DULCE UNIFIED                                    ,0.0,0.0,0.0,1.0,"Rural, Distant",0.0032176101,0.043657057,0.30856055,0.066157378,0.57840741,0.31765819,0.050785728,0.43343195,0.010703467,0.10966004,811.0,Kindergarten,12.0,0.13947520000000002,0.042672999,0.025354905,0.022226578,0.15210012,0.051313814000000006,0.032414626,0.03031945,0.36844391,1.237208724021912,-1.264979481697083,0.6368324160575867,1.327257513999939,11.39204788208008,10.952969551086431,11.196910858154302,11.440481185913091,0.2682390213012695,0.2052271962165833,0.1604040563106537,0.2799406051635742,0.0918939635157585,0.2239317893981934,0.0812698900699615,0.0920982956886292,0.0488864555954933,0.0957669541239738,0.0307082571089268,0.0488989800214767,0.0351646244525909,0.2029298394918442,0.0819003358483315,0.0323621556162834,0.0843846574425697,0.3496356606483459,0.1984822750091553,0.0616530179977417,1.839339017868042,0.6925658583641052
600001,7.0,ACTON-AGUA DULCE UNIFIED                                    ,0.0,0.0,0.0,1.0,"Rural, Distant",0.0034075219,0.044103075,0.29138368,0.069877215,0.59122849,0.31744158,0.050182372,0.42786071,0.010703467,0.10966004,695.0,Kindergarten,12.0,0.17520547,0.037274137,0.027399052,0.0107038,0.1846716,0.043887284000000006,0.035131827000000004,0.014630446,0.36762396,1.237208724021912,-1.264979481697083,0.6368324160575867,1.327257513999939,11.39204788208008,10.952969551086431,11.196910858154302,11.440481185913091,0.2682390213012695,0.2052271962165833,0.1604040563106537,0.2799406051635742,0.0918939635157585,0.2239317893981934,0.0812698900699615,0.0920982956886292,0.0488864555954933,0.0957669541239738,0.0307082571089268,0.0488989800214767,0.0351646244525909,0.2029298394918442,0.0819003358483315,0.0323621556162834,0.0843846574425697,0.3496356606483459,0.1984822750091553,0.0616530179977417,1.839339017868042,0.6925658583641052
600001,8.0,ACTON-AGUA DULCE UNIFIED                                    ,0.0,0.0,0.0,1.0,"Rural, Distant",0.0037942987,0.04525888,0.30939671,0.076430909,0.56511921,0.32786041,0.052197125,0.44137931,0.010703467,0.10966004,688.0,Kindergarten,12.0,0.1953599,0.041194972,0.02903639,0.016920641,0.22572708,0.049448553,0.037638169,0.022583487000000003,0.38005754,1.237208724021912,-1.264979481697083,0.6368324160575867,1.327257513999939,11.39204788208008,10.952969551086431,11.196910858154302,11.440481185913091,0.2682390213012695,0.2052271962165833,0.1604040563106537,0.2799406051635742,0.0918939635157585,0.2239317893981934,0.0812698900699615,0.0920982956886292,0.0488864555954933,0.0957669541239738,0.0307082571089268,0.0488989800214767,0.0351646244525909,0.2029298394918442,0.0819003358483315,0.0323621556162834,0.0843846574425697,0.3496356606483459,0.1984822750091553,0.0616530179977417,1.839339017868042,0.6925658583641052
600006,4.0,ROSS VALLEY ELEMENTARY                                      ,0.0,1.0,0.0,0.0,"Suburb, Large",0.0029242486,0.044324148,0.12401801,0.0089166081,0.81981701,0.10854918,0.0089461645,0.11913358,0.025989262000000003,0.10410697,266.0,Kindergarten,8.0,0.056402907,0.024156321,0.055748843,0.069795832,0.0062993509,0.021805553,0.043302737,0.054670308,0.11749534,1.912972092628479,-1.0424275398254392,0.671612560749054,2.0227401256561284,11.6072359085083,10.57086563110352,10.86042022705078,11.65492725372314,0.6788743734359741,0.3338255286216736,0.3588554561138153,0.7005800008773804,0.0414177253842354,0.1779521107673645,0.0652056112885475,0.0416201129555702,0.0482691451907158,0.0378568843007088,0.0427578799426556,0.0485783256590366,0.028005912899971,0.2147818952798843,0.1100492849946022,0.0227460619062185,0.1208329275250435,0.3586382269859314,0.1672726720571518,0.0980252549052238,1.916765332221985,1.077777147293091
600006,5.0,ROSS VALLEY ELEMENTARY                                      ,0.0,1.0,0.0,0.0,"Suburb, Large",0.0037967889,0.031001963,0.1069924,0.013369522,0.84483933,0.10888826,0.0084495265,0.12149533,0.025989262000000003,0.10410697,216.0,Kindergarten,8.0,0.037665054,0.0097775301,0.047632247,0.020442734,0.004648124799999999,0.0065058344,0.036352325,0.015122595,0.11733779,1.912972092628479,-1.0424275398254392,0.671612560749054,2.0227401256561284,11.6072359085083,10.57086563110352,10.86042022705078,11.65492725372314,0.6788743734359741,0.3338255286216736,0.3588554561138153,0.7005800008773804,0.0414177253842354,0.1779521107673645,0.0652056112885475,0.0416201129555702,0.0482691451907158,0.0378568843007088,0.0427578799426556,0.0485783256590366,0.028005912899971,0.2147818952798843,0.1100492849946022,0.0227460619062185,0.1208329275250435,0.3586382269859314,0.1672726720571518,0.0980252549052238,1.916765332221985,1.077777147293091
600006,6.0,ROSS VALLEY ELEMENTARY                                      ,0.0,1.0,0.0,0.0,"Suburb, Large",0.0,0.026631158,0.099866845,0.0093209054,0.8641810999999999,0.10396039,0.007425743199999999,0.12132353,0.025989262000000003,0.10410697,272.0,Kindergarten,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11138614,1.912972092628479,-1.0424275398254392,0.671612560749054,2.0227401256561284,11.6072359085083,10.57086563110352,10.86042022705078,11.65492725372314,0.6788743734359741,0.3338255286216736,0.3588554561138153,0.7005800008773804,0.0414177253842354,0.1779521107673645,0.0652056112885475,0.0416201129555702,0.0482691451907158,0.0378568843007088,0.0427578799426556,0.0485783256590366,0.028005912899971,0.2147818952798843,0.1100492849946022,0.0227460619062185,0.1208329275250435,0.3586382269859314,0.1672726720571518,0.0980252549052238,1.916765332221985,1.077777147293091
600006,7.0,ROSS VALLEY ELEMENTARY                                      ,0.0,1.0,0.0,0.0,"Suburb, Large",0.0,0.026631158,0.099866845,0.0093209054,0.8641810999999999,0.10396039,0.0074257422,0.12800001,0.025989262000000003,0.10410697,261.0,Kindergarten,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11138614,1.912972092628479,-1.0424275398254392,0.671612560749054,2.0227401256561284,11.6072359085083,10.57086563110352,10.86042022705078,11.65492725372314,0.6788743734359741,0.3338255286216736,0.3588554561138153,0.7005800008773804,0.0414177253842354,0.1779521107673645,0.0652056112885475,0.0416201129555702,0.0482691451907158,0.0378568843007088,0.0427578799426556,0.0485783256590366,0.028005912899971,0.2147818952798843,0.1100492849946022,0.0227460619062185,0.1208329275250435,0.3586382269859314,0.1672726720571518,0.0980252549052238,1.916765332221985,1.077777147293091
600006,8.0,ROSS VALLEY ELEMENTARY                                      ,0.0,1.0,0.0,0.0,"Suburb, Large",0.0,0.026631158,0.099866845,0.0093209054,0.8641810999999999,0.1039604,0.0074257427000000015,0.10566038,0.025989262000000003,0.10410697,275.0,Kindergarten,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11138614,1.912972092628479,-1.0424275398254392,0.671612560749054,2.0227401256561284,11.6072359085083,10.57086563110352,10.86042022705078,11.65492725372314,0.6788743734359741,0.3338255286216736,0.3588554561138153,0.7005800008773804,0.0414177253842354,0.1779521107673645,0.0652056112885475,0.0416201129555702,0.0482691451907158,0.0378568843007088,0.0427578799426556,0.0485783256590366,0.028005912899971,0.2147818952798843,0.1100492849946022,0.0227460619062185,0.1208329275250435,0.3586382269859314,0.1672726720571518,0.0980252549052238,1.916765332221985,1.077777147293091
